EncID,PhotoFile,Ycoord,Xcoord,Date,Time,AgeCat,IndID,Distance
192,z20170802_073309_0012b.JPG,-25.7014,28.9463,2017-08-02,07:32:00,Jv,109,123
193,z20170802_073309_0012c.JPG,-25.7014,28.9463,2017-08-02,07:32:00,Ad,110,123
194,z20170802_073309_0012d.JPG,-25.7014,28.9463,2017-08-02,07:32:00,Ad,111,123
195,z20170802_073457_0015a.JPG,-25.7015,28.9464,2017-08-02,07:34:00,Ad,111,123
196,z20170802_073457_0015b.JPG,-25.7015,28.9464,2017-08-02,07:34:00,Jv,112,123
197,z20170802_073508_0016a.JPG,-25.7015,28.9464,2017-08-02,07:34:00,Jv,109,123
198,z20170802_073730_0019a.JPG,-25.7002,28.9469,2017-08-02,07:36:00,Jv,183,81
199,z20170802_073730_0019b.JPG,-25.7002,28.9469,2017-08-02,07:36:00,Ad,113,81
200,z20170802_073730_0019c.JPG,-25.7002,28.9469,2017-08-02,07:36:00,Jv,114,81
201,z20170802_102009_0036a.JPG,-25.7132,28.9877,2017-08-02,10:19:00,Ad,14,98
202,z20170802_102315_0038b.JPG,-25.7133,28.9877,2017-08-02,10:22:00,Ad,115,98
203,z20170802_102357_0040a.JPG,-25.7130,28.9881,2017-08-02,10:23:00,Ad,116,98
204,z20170802_110311_0054a.JPG,-25.7107,29.0191,2017-08-02,11:02:00,Ad,117,0
205,z20170802_110429_0057a.JPG,-25.7107,29.0190,2017-08-02,11:03:00,Ad,60,0
206,z20170802_113906_0064a.JPG,-25.6900,29.0560,2017-08-02,11:38:00,Ad,118,170
207,z20170802_115058_0072a.JPG,-25.6818,29.0514,2017-08-02,11:50:00,Ad,119,64
208,z20170802_115433_0073b.JPG,-25.6814,29.0508,2017-08-02,11:53:00,Ad,120,195
209,z20170802_120810_0084a.JPG,-25.6792,29.0451,2017-08-02,12:07:00,Ad,71,69
210,z20170802_120846_0085a.JPG,-25.6791,29.0448,2017-08-02,12:07:00,Ad,121,69
211,z20170802_124900_0087a.JPG,-25.6693,29.0233,2017-08-02,12:48:00,Ad,72,134
212,z20170802_124907_0088a.JPG,-25.6692,29.0233,2017-08-02,12:48:00,Ad,74,134
213,z20170802_125413_0089a.JPG,-25.6689,29.0226,2017-08-02,12:53:00,Ad,72,134
214,z20170802_130538_0093a.JPG,-25.6670,29.0200,2017-08-02,13:04:00,Ad,122,128
215,z20170802_130811_0096a.JPG,-25.6670,29.0200,2017-08-02,13:07:00,Ad,123,128
216,z20170802_131314_0097a.JPG,-25.6668,29.0197,2017-08-02,13:12:00,Ad,123,128
217,z20170802_131336_0098a.JPG,-25.6667,29.0198,2017-08-02,13:12:00,Ad,124,128
218,z20170802_131402_0099a.JPG,-25.6666,29.0198,2017-08-02,13:13:00,Ad,125,128
219,z20170802_131518_0100a.JPG,-25.6665,29.0194,2017-08-02,13:14:00,Ad,126,93
220,z20170802_131655_0101a.JPG,-25.6664,29.0194,2017-08-02,13:16:00,Ad,127,93
221,z20170802_132010_0102a.JPG,-25.6664,29.0193,2017-08-02,13:19:00,Ad,127,93
222,z20170802_132030_0103a.JPG,-25.6664,29.0193,2017-08-02,13:19:00,Ad,125,93
223,z20170802_132030_0103b.JPG,-25.6664,29.0193,2017-08-02,13:19:00,Ad,122,93
224,z20170802_132134_0105a.JPG,-25.6661,29.0189,2017-08-02,13:20:00,Ad,85,62
225,z20170802_134234_0116a.JPG,-25.6597,29.0110,2017-08-02,13:41:00,Ad,128,70
226,z20170802_134242_0117a.JPG,-25.6597,29.0110,2017-08-02,13:41:00,Ad,129,70
227,z20170802_134504_0119a.JPG,-25.6596,29.0110,2017-08-02,13:44:00,Ad,78,70
228,z20170802_134523_0120a.JPG,-25.6596,29.0110,2017-08-02,13:44:00,Ad,82,70
229,z20170802_134800_0124a.JPG,-25.6602,29.0091,2017-08-02,13:47:00,Jv,79,134
230,z20170802_134800_0124b.JPG,-25.6602,29.0091,2017-08-02,13:47:00,Ad,80,134
231,z20170802_134800_0124c.JPG,-25.6602,29.0091,2017-08-02,13:47:00,Ad,81,134
232,z20170802_134800_0124d.JPG,-25.6602,29.0091,2017-08-02,13:47:00,Ad,82,134
233,z20170802_134800_0124e.JPG,-25.6602,29.0091,2017-08-02,13:47:00,Ad,87,134
234,z20170802_134802_0125a.JPG,-25.6602,29.0091,2017-08-02,13:47:00,Ad,86,134
235,z20170802_134810_0126a.JPG,-25.6602,29.0091,2017-08-02,13:47:00,Ad,78,134
236,z20170802_134833_0127a.JPG,-25.6602,29.0091,2017-08-02,13:47:00,Ad,86,134
237,z20170802_134924_0128a.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,78,134
238,z20170802_134924_0128b.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,130,134
239,z20170802_134924_0128c.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,86,134
240,z20170802_134924_0128d.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,128,134
241,z20170802_134928_0129a.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,86,134
242,z20170802_134928_0129b.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,130,134
243,z20170802_134928_0129c.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,80,134
244,z20170802_134928_0129d.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,128,134
245,z20170802_134931_0130a.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,78,134
246,z20170802_134931_0130b.JPG,-25.6602,29.0091,2017-08-02,13:48:00,Ad,86,134
247,z20170802_135200_0136a.JPG,-25.6602,29.0091,2017-08-02,13:51:00,Ad,77,181
248,z20170802_135200_0136b.JPG,-25.6602,29.0091,2017-08-02,13:51:00,Ad,131,181
249,z20170802_140652_0146a.JPG,-25.6630,29.0083,2017-08-02,14:06:00,Ad,132,0
250,z20170802_140841_0148a.JPG,-25.6640,29.0078,2017-08-02,14:07:00,Ad,89,0
251,z20170802_141346_0149a.JPG,-25.6654,29.0069,2017-08-02,14:12:00,Ad,133,0
252,z20170802_141349_0150a.JPG,-25.6654,29.0069,2017-08-02,14:12:00,Ad,134,0
253,z20170802_141607_0155a.JPG,-25.6657,29.0066,2017-08-02,14:15:00,Ad,93,0
254,z20170802_151716_0182a.JPG,-25.7041,29.0057,2017-08-02,15:16:00,Ad,135,130
255,z20170802_151718_0183a.JPG,-25.7041,29.0057,2017-08-02,15:16:00,Ad,136,130
256,z20170802_152421_0184a.JPG,-25.7055,29.0034,2017-08-02,15:23:00,Ad,53,168
257,z20170802_152456_0186a.JPG,-25.7055,29.0034,2017-08-02,15:24:00,Ad,18,168
258,z20170802_152512_0187a.JPG,-25.7055,29.0034,2017-08-02,15:24:00,Ad,32,168
259,z20170802_152529_0188a.JPG,-25.7055,29.0034,2017-08-02,15:24:00,Ad,137,168
260,z20170802_152535_0189a.JPG,-25.7055,29.0034,2017-08-02,15:24:00,Ad,29,168
261,z20170802_152535_0189b.JPG,-25.7055,29.0034,2017-08-02,15:24:00,Ad,31,168
262,z20170803_095311_0011a.JPG,-25.7111,28.9606,2017-08-03,09:52:00,Jv,138,116
263,z20170803_095744_0013a.JPG,-25.7130,28.9611,2017-08-03,09:56:00,Ad,139,116
264,z20170803_095824_0014a.JPG,-25.7130,28.9611,2017-08-03,09:57:00,Ad,139,116
265,z20170803_112757_0035a.JPG,-25.7124,28.9892,2017-08-03,11:24:00,Ad,140,160
266,z20170803_112828_0037a.JPG,-25.7123,28.9895,2017-08-03,11:27:00,Ad,12,160
267,z20170803_112837_0038a.JPG,-25.7123,28.9895,2017-08-03,11:27:00,Ad,48,160
268,z20170803_113158_0042a.JPG,-25.7123,28.9895,2017-08-03,11:31:00,Ad,141,160
269,z20170803_113158_0042b.JPG,-25.7123,28.9895,2017-08-03,11:31:00,Ad,142,160
270,z20170803_130156_0057b.JPG,-25.6919,29.0569,2017-08-03,13:01:00,Ad,143,62
271,z20170803_130201_0058a.JPG,-25.6919,29.0569,2017-08-03,13:01:00,Ad,144,62
272,z20170803_130204_0059a.JPG,-25.6919,29.0569,2017-08-03,13:01:00,Ad,145,62
273,z20170803_130354_0061a.JPG,-25.6919,29.0577,2017-08-03,13:03:00,Ad,143,62
